customer_id;buy_post
52341;0
69175;1
73427;1
134577;0
156357;0
161390;1
168512;1
179897;1
180373;0
185406;1
195855;1
196144;1
196270;1
196485;1
196541;1
197786;1
197835;0
197877;1
197923;1
198154;0
198225;0
198361;0
198380;0
198484;0
198718;0
198764;1
198986;1
199042;0
199079;1
199100;1
199141;0
199241;1
199343;0
199444;1
199672;0
199764;0
199817;0
199939;1
199942;1
199989;0
200045;0
200196;0
200239;1
200788;0
200859;0
200975;0
200994;1
201088;0
201181;0
201384;0
201446;0
201545;1
201739;1
201773;1
202801;0
203552;0
203678;1
203794;0
203824;1
204418;0
204706;1
204988;1
205990;1
206011;1
206222;1
207956;1
208195;1
208277;1
208507;0
209224;1
209836;1
210129;0
211390;0
211722;0
211837;1
211929;1
212394;1
212570;1
213361;1
213532;1
213607;0
213808;0
214286;0
214307;1
214442;1
214672;0
214936;0
214990;1
215038;0
215212;1
215253;0
215287;0
215462;1
215469;0
215580;0
215817;0
215884;1
216038;0
216172;1
216207;0
216686;1
216839;0
216858;0
216865;1
217007;1
217197;1
217599;1
217661;0
217697;0
217725;0
218156;1
218446;1
218593;0
218598;1
218615;1
218864;1
218925;1
218927;0
219130;1
219228;1
219501;0
219715;1
219746;1
220270;0
220363;1
220447;0
220838;1
221010;1
221161;1
221182;0
221191;1
221336;0
221341;0
221348;1
221716;0
221761;1
221867;0
221904;1
221916;0
222153;0
222183;1
222214;0
222343;1
222355;0
222763;0
222919;0
223062;0
223127;0
223266;0
223394;1
223412;1
223423;0
223424;0
223443;0
223465;0
223580;1
223835;0
223867;1
224398;0
224480;0
224489;0
224692;1
224953;1
224969;1
225285;1
225359;1
225393;1
225442;0
225474;1
225475;0
225771;1
226048;1
226078;0
226161;0
226452;1
226476;1
226578;1
226650;1
226669;0
226745;0
226849;1
226868;1
227042;0
227085;0
227430;0
227475;0
227635;1
227675;0
227999;1
228132;1
228198;1
228354;0
228469;1
228534;1
228544;0
228863;0
228914;0
229060;0
229067;1
229101;0
229106;0
229143;1
229244;0
229272;0
229450;0
229616;1
229960;0
230177;0
230182;0
230212;1
230413;0
230793;0
230840;1
231601;1
231801;1
231889;0
231892;1
232056;0
232098;1
232214;1
232269;1
232357;1
